Food code,Main food description,WWEIA Category number,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Folic acid (mcg),Calcium (mg),"Iron
(mg)"
11114350,"Milk, lactose free, whole",1002,Milk,61,3.27,4.63,3.2,0,123,0
11115300,Buttermilk,1002,Milk,43,3.46,4.81,1.08,0,120,0.01
11116000,Goat milk,1002,Milk,69,3.56,4.45,4.14,0,134,0.05
11120000,"Milk, dry, reconstituted, nonfat",1008,Milk,32,3.2,4.6,0.07,0,114,0.03
11121100,"Milk, dry, reconstituted, whole",1002,Milk,76,4.01,5.86,4.08,0,142,0.07
11111000,"Milk, whole",1002,Milk,61,3.27,4.63,3.2,0,123,0
11400000,"Yogurt, NFS",1820,Yogurt,94,6.67,10.22,2.87,0,136,0.07
11400010,"Yogurt, Greek, NS as to type of milk or flavor",1822,Yogurt,91,9.11,10.78,1.33,0,100,0.12
11410000,"Yogurt, NS as to type of milk or flavor",1820,Yogurt,93,4.57,15.69,1.34,0,160,0.14
11411010,"Yogurt, NS as to type of milk, plain",1820,Yogurt,63,5.25,7.04,1.55,0,183,0.08
11411100,"Yogurt, whole milk, plain",1820,Yogurt,78,3.82,5.57,4.48,0,127,0
11411200,"Yogurt, low fat milk, plain",1820,Yogurt,63,5.25,7.04,1.55,0,183,0.08
11411300,"Yogurt, nonfat milk, plain",1820,Yogurt,50,4.23,8.08,0.09,0,167,0
11411390,"Yogurt, Greek, NS as to type of milk, plain",1822,Yogurt,67,10.2,3.6,1.36,0,110,0.07
11411400,"Yogurt, Greek, whole milk, plain",1822,Yogurt,94,8.78,4.75,4.39,0,111,0
13110102,"Ice cream, vanilla, with additional ingredients",5802,Ice creams,242,3.67,30.51,11.76,2,118,0.61
13110110,"Ice cream, chocolate",5802,Ice creams,216,3.8,28.2,11,0,109,0.93
13110112,"Ice cream, chocolate, with additional ingredients",5802,Ice creams,249,3.93,34.39,11.76,2,102,1.32
13110200,"Ice cream, soft serve, vanilla",5802,Ice creams,180,4.78,29.46,4.83,0,161,0.19
13110210,"Ice cream, soft serve, chocolate",5802,Ice creams,187,5,25.7,7.19,0,159,0.69
